Id,Name,Type,isCharged,Power,Energy Boost,Turns,Energy Cost,Stat Mod,Chance
231,Splash,Water,0,0,12,4,0,"0,0,0,0,0,0",0
232,Water Gun(Blastoise),Water,0,6,4,2,0,"0,0,0,0,0,0",0
233,Mud-Slap,Ground,0,12,10,3,0,"0,0,0,0,0,0",0
234,Zen Headbutt,Psychic,0,8,6,3,0,"0,0,0,0,0,0",0
235,Confusion,Psychic,0,16,12,4,0,"0,0,0,0,0,0",0
236,Poison Sting,Poison,0,4,9,2,0,"0,0,0,0,0,0",0
237,Bubble,Water,0,8,11,3,0,"0,0,0,0,0,0",0
238,Feint Attack,Dark,0,6,6,2,0,"0,0,0,0,0,0",0
239,Steel Wing,Steel,0,7,6,2,0,"0,0,0,0,0,0",0
240,Fire Fang,Fire,0,8,5,2,0,"0,0,0,0,0,0",0
241,Rock Smash,Fighting,0,9,7,3,0,"0,0,0,0,0,0",0
242,Transform,Normal,0,0,0,3,0,"0,0,0,0,0,0",0
243,Counter,Fighting,0,8,6,2,0,"0,0,0,0,0,0",0
244,Powder Snow,Ice,0,5,8,2,0,"0,0,0,0,0,0",0
249,Charge Beam,Electric,0,5,11,3,0,"0,0,0,0,0,0",0
250,Volt Switch,Electric,0,12,16,4,0,"0,0,0,0,0,0",0
253,Dragon Tail,Dragon,0,13,9,3,0,"0,0,0,0,0,0",0
255,Air Slash,Flying,0,9,9,3,0,"0,0,0,0,0,0",0
260,Infestation,Bug,0,6,12,3,0,"0,0,0,0,0,0",0
261,Struggle Bug,Bug,0,9,8,3,0,"0,0,0,0,0,0",0
263,Astonish,Ghost,0,12,10,3,0,"0,0,0,0,0,0",0
264,Hex,Ghost,0,6,12,3,0,"0,0,0,0,0,0",0
266,Iron Tail,Steel,0,10,7,3,0,"0,0,0,0,0,0",0
269,Fire Spin,Fire,0,11,10,3,0,"0,0,0,0,0,0",0
271,Bullet Seed,Grass,0,5,13,3,0,"0,0,0,0,0,0",0
274,Extrasensory,Psychic,0,8,10,3,0,"0,0,0,0,0,0",0
278,Snarl,Dark,0,5,13,3,0,"0,0,0,0,0,0",0
281,Hidden Power*,Normal,0,9,8,3,0,"0,0,0,0,0,0",0
282,Take Down,Normal,0,5,8,3,0,"0,0,0,0,0,0",0
283,Waterfall,Water,0,12,8,3,0,"0,0,0,0,0,0",0
287,Yawn,Normal,0,0,12,4,0,"0,0,0,0,0,0",0
291,Present,Normal,0,3,12,3,0,"0,0,0,0,0,0",0
297,Smack Down,Rock,0,11,8,3,0,"0,0,0,0,0,0",0
320,Charm,Fairy,0,15,6,3,0,"0,0,0,0,0,0",0
325,Lock-On,Normal,0,1,5,1,0,"0,0,0,0,0,0",0
326,Thunder Fang,Electric,0,8,5,2,0,"0,0,0,0,0,0",0
327,Ice Fang,Ice,0,8,5,2,0,"0,0,0,0,0,0",0
345,Gust,Flying,0,16,12,4,0,"0,0,0,0,0,0",0
346,Incinerate,Fire,0,20,20,5,0,"0,0,0,0,0,0",0
350,Fairy Wind,Fairy,0,4,9,2,0,"0,0,0,0,0,0",0
356,Double Kick,Fighting,0,8,12,3,0,"0,0,0,0,0,0",0
357,Magical Leaf,Grass,0,10,10,3,0,"0,0,0,0,0,0",0
368,Rollout,Rock,0,8,13,3,0,"0,0,0,0,0,0",0
373,Water Shuriken,Water,0,6,14,3,0,"0,0,0,0,0,0",0
385,Leafage,Grass,0,6,7,2,0,"0,0,0,0,0,0",0
387,Geomancy,Fairy,0,4,13,3,0,"0,0,0,0,0,0",0
401,Psywave,Psychic,0,3,4,1,0,"0,0,0,0,0,0",0
402,Metal Sound,Steel,0,3,8,2,0,"0,0,0,0,0,0",0
403,Sand Attack,Ground,0,2,4,1,0,"0,0,0,0,0,0",0
462,Force Palm,Fighting,0,13,10,3,0,"0,0,0,0,0,0",0
013,Wrap,Normal,1,60,0,0,45,,
014,Hyper Beam,Normal,1,150,0,0,80,,
016,Dark Pulse,Dark,1,80,0,0,50,,
018,Sludge,Poison,1,50,0,0,40,,
020,Vise Grip,Normal,1,40,0,0,40,,
021,Flame Wheel,Fire,1,60,0,0,55,,
022,Megahorn,Bug,1,110,0,0,55,,
024,Flamethrower,Fire,1,90,0,0,55,,
026,Dig,Ground,1,70,0,0,50,,
028,Cross Chop,Fighting,1,55,0,0,35,,
030,Psybeam,Psychic,1,70,0,0,60,,
031,Earthquake,Ground,1,110,0,0,65,,
032,Stone Edge,Rock,1,100,0,0,55,,
033,Ice Punch,Ice,1,55,0,0,40,,
034,Heart Stamp,Psychic,1,40,0,0,40,,
035,Discharge,Electric,1,65,0,0,45,,
036,Flash Cannon,Steel,1,110,0,0,70,,
038,Drill Peck,Flying,1,65,0,0,40,,
039,Ice Beam,Ice,1,90,0,0,55,,
040,Blizzard,Ice,1,140,0,0,75,,
042,Heat Wave,Fire,1,95,0,0,75,,
045,Aerial Ace,Flying,1,55,0,0,40,,
046,Drill Run,Ground,1,80,0,0,45,,
047,Petal Blizzard,Grass,1,110,0,0,65,,
048,Mega Drain,Grass,1,25,0,0,55,,
049,Bug Buzz,Bug,1,100,0,0,60,1 Opponent Defense,0.3
050,Poison Fang,Poison,1,45,0,0,40,1 Opponent Defense,1.0
051,Night Slash,Dark,1,50,0,0,35,2 Attack,0.125
053,Bubble Beam,Water,1,25,0,0,40,1 Opponent Attack,1.0
054,Submission,Fighting,1,60,0,0,50,,
056,Low Sweep,Fighting,1,40,0,0,40,,
057,Aqua Jet,Water,1,45,0,0,45,,
058,Aqua Tail,Water,1,55,0,0,35,,
059,Seed Bomb,Grass,1,65,0,0,45,,
060,Psyshock,Psychic,1,70,0,0,45,,
062,Ancient Power,Rock,1,60,0,0,45,1 Attack1 Defense,0.1
063,Rock Tomb,Rock,1,70,0,0,60,1 Opponent Attack,1.0
064,Rock Slide,Rock,1,65,0,0,45,,
065,Power Gem,Rock,1,85,0,0,50,,
066,Shadow Sneak,Ghost,1,50,0,0,45,,
067,Shadow Punch,Ghost,1,55,0,0,35,,
069,Ominous Wind,Ghost,1,45,0,0,45,1 Attack1 Defense,0.1
070,Shadow Ball,Ghost,1,100,0,0,55,,
072,Magnet Bomb,Steel,1,70,0,0,45,,
074,Iron Head,Steel,1,70,0,0,50,,
075,Parabolic Charge,Electric,1,70,0,0,50,1 Defense,0.66
077,Thunder Punch,Electric,1,55,0,0,40,,
078,Thunder,Electric,1,100,0,0,60,,
079,Thunderbolt,Electric,1,90,0,0,55,,
080,Twister,Dragon,1,45,0,0,45,,
082,Dragon Pulse,Dragon,1,90,0,0,60,,
083,Dragon Claw,Dragon,1,50,0,0,35,,
084,Disarming Voice,Fairy,1,70,0,0,45,,
085,Draining Kiss,Fairy,1,60,0,0,55,,
086,Dazzling Gleam,Fairy,1,110,0,0,70,,
087,Moonblast,Fairy,1,110,0,0,60,1 Opponent Attack,0.1
088,Play Rough,Fairy,1,90,0,0,60,,
089,Cross Poison,Poison,1,50,0,0,35,2 Attack,0.125
090,Sludge Bomb,Poison,1,80,0,0,50,,
091,Sludge Wave,Poison,1,110,0,0,65,,
092,Gunk Shot,Poison,1,130,0,0,75,,
094,Bone Club,Ground,1,55,0,0,35,,
095,Bulldoze,Ground,1,80,0,0,60,,
096,Mud Bomb,Ground,1,60,0,0,40,,
099,Signal Beam,Bug,1,75,0,0,55,1 Opponent Attack1 Opponent Defense,0.2
100,X-Scissor,Bug,1,65,0,0,40,,
101,Flame Charge,Fire,1,65,0,0,50,1 Attack,1.0
102,Flame Burst,Fire,1,70,0,0,55,,
103,Fire Blast,Fire,1,140,0,0,80,,
104,Brine,Water,1,60,0,0,50,,
105,Water Pulse,Water,1,80,0,0,55,,
106,Scald,Water,1,85,0,0,50,1 Opponent Attack,0.3
107,Hydro Pump,Water,1,130,0,0,75,,
108,Psychic,Psychic,1,75,0,0,55,1 Opponent Defense,0.1
109,Psystrike,Psychic,1,90,0,0,45,,
111,Icy Wind,Ice,1,60,0,0,45,1 Opponent Attack,1.0
114,Giga Drain,Grass,1,50,0,0,80,,
115,Fire Punch,Fire,1,55,0,0,40,,
116,Solar Beam,Grass,1,150,0,0,80,,
117,Leaf Blade,Grass,1,70,0,0,35,,
118,Power Whip,Grass,1,90,0,0,50,,
121,Air Cutter,Flying,1,60,0,0,55,,
122,Hurricane,Flying,1,110,0,0,65,,
123,Brick Break,Fighting,1,40,0,0,40,1 Opponent Defense,1.0
125,Swift,Normal,1,55,0,0,35,,
126,Horn Attack,Normal,1,40,0,0,35,,
127,Stomp,Normal,1,55,0,0,40,,
129,Hyper Fang,Normal,1,80,0,0,50,,
131,Body Slam,Normal,1,50,0,0,35,,
132,Rest,Normal,1,50,0,0,35,,
133,Struggle,Normal,1,35,0,0,100,,
134,Scald(Blastoise),Water,1,50,0,0,80,,
135,Hydro Pump(Blastoise),Water,1,90,0,0,80,,
136,Wrap(Green),Normal,1,25,0,0,45,,
137,Wrap(Pink),Normal,1,25,0,0,45,,
245,Close Combat,Fighting,1,100,0,0,45,2 Defense,1.0
246,Dynamic Punch,Fighting,1,90,0,0,50,,
247,Focus Blast,Fighting,1,150,0,0,75,,
248,Aurora Beam,Ice,1,80,0,0,60,,
251,Wild Charge,Electric,1,100,0,0,45,2 Defense,1.0
252,Zap Cannon,Electric,1,150,0,0,80,1 Opponent Attack,0.33
254,Avalanche,Ice,1,90,0,0,45,,
256,Brave Bird,Flying,1,130,0,0,55,3 Defense,1.0
257,Sky Attack,Flying,1,85,0,0,55,,
258,Sand Tomb,Ground,1,25,0,0,40,1 Opponent Defense,1.0
259,Rock Blast,Rock,1,50,0,0,40,,
262,Silver Wind,Bug,1,60,0,0,45,1 Attack1 Defense,0.1
265,Night Shade,Ghost,1,80,0,0,45,,
267,Gyro Ball,Steel,1,80,0,0,60,,
268,Heavy Slam,Steel,1,70,0,0,50,,
270,Overheat,Fire,1,130,0,0,55,2 Attack,1.0
272,Grass Knot,Grass,1,90,0,0,50,,
273,Energy Ball,Grass,1,90,0,0,55,1 Opponent Defense,0.1
275,Future Sight,Psychic,1,110,0,0,65,,
276,Mirror Coat,Psychic,1,60,0,0,55,,
277,Outrage,Dragon,1,110,0,0,60,,
279,Crunch,Dark,1,70,0,0,45,1 Opponent Defense,0.3
280,Foul Play,Dark,1,70,0,0,45,,
284,Surf,Water,1,75,0,0,45,,
285,Draco Meteor,Dragon,1,150,0,0,65,2 Attack,1.0
286,Doom Desire,Steel,1,75,0,0,40,,
288,Psycho Boost,Psychic,1,70,0,0,35,2 Attack,1.0
289,Origin Pulse,Water,1,130,0,0,60,,
290,Precipice Blades,Ground,1,130,0,0,60,,
292,Weather Ball,Fire,1,55,0,0,35,,
293,Weather Ball,Ice,1,55,0,0,35,,
294,Weather Ball*,Rock,1,55,0,0,35,,
295,Weather Ball,Water,1,55,0,0,35,,
296,Frenzy Plant,Grass,1,100,0,0,45,,
298,Blast Burn,Fire,1,110,0,0,50,,
299,Hydro Cannon,Water,1,80,0,0,40,,
300,Last Resort,Normal,1,90,0,0,55,,
301,Meteor Mash,Steel,1,100,0,0,50,,
302,Skull Bash,Normal,1,130,0,0,75,1 Defense,1.0
303,Acid Spray,Poison,1,20,0,0,45,2 Opponent Defense,1.0
304,Earth Power,Ground,1,90,0,0,55,1 Opponent Defense,0.1
305,Crabhammer,Water,1,85,0,0,50,2 Attack,0.125
306,Lunge,Bug,1,60,0,0,45,1 Opponent Attack,1.0
307,Crush Claw,Normal,1,,0,0,,,
308,Octazooka,Water,1,50,0,0,50,2 Opponent Attack,0.5
309,Mirror Shot,Steel,1,35,0,0,35,1 Opponent Attack,0.3
310,Superpower,Fighting,1,85,0,0,40,1 Attack1 Defense,1.0
311,Fell Stinger,Bug,1,20,0,0,35,1 Attack,1.0
312,Leaf Tornado,Grass,1,45,0,0,40,2 Opponent Attack,0.5
313,Leech Life,Bug,1,,0,0,,,
314,Drain Punch,Fighting,1,20,0,0,40,1 Defense,1.0
315,Shadow Bone,Ghost,1,80,0,0,45,1 Opponent Defense,0.2
316,Muddy Water,Water,1,35,0,0,35,1 Opponent Attack,0.3
317,Blaze Kick,Fire,1,60,0,0,40,,
318,Razor Shell,Water,1,35,0,0,35,1 Opponent Defense,0.5
319,Power-Up Punch,Fighting,1,20,0,0,35,1 Attack,1.0
321,Giga Impact,Normal,1,150,0,0,80,,
322,Frustration,Normal,1,10,0,0,70,,
323,Return,Normal,1,130,0,0,70,,
324,Synchronoise,Psychic,1,80,0,0,50,,
328,Horn Drill,Normal,1,,0,0,,,
329,Fissure,Ground,1,,0,0,,,
330,Sacred Sword,Fighting,1,60,0,0,35,,
331,Flying Press,Fighting,1,90,0,0,40,,
332,Aura Sphere,Fighting,1,100,0,0,55,,
333,Payback,Dark,1,110,0,0,60,,
334,Rock Wrecker,Rock,1,110,0,0,50,,
335,Aeroblast,Flying,1,170,0,0,75,2 Attack,0.125
336,Techno Blast,Normal,1,120,0,0,55,,
337,Techno Blast,Fire,1,120,0,0,55,,
338,Techno Blast,Ice,1,120,0,0,55,,
339,Techno Blast,Water,1,120,0,0,55,,
340,Techno Blast,Electric,1,120,0,0,55,,
341,Fly,Flying,1,80,0,0,45,,
342,V-create,Fire,1,95,0,0,40,3 Defense,1.0
343,Leaf Storm,Grass,1,130,0,0,55,2 Attack,1.0
344,Tri Attack,Normal,1,65,0,0,50,1 Opponent Attack1 Opponent Defense,0.5
348,Feather Dance,Flying,1,35,0,0,50,2 Opponent Attack,1.0
352,Weather Ball,Normal,1,55,0,0,35,,
353,Psychic Fangs,Psychic,1,40,0,0,35,1 Opponent Defense,1.0
358,Sacred Fire,Fire,1,130,0,0,65,1 Opponent Attack,0.5
359,Icicle Spear,Ice,1,65,0,0,40,,
360,Aeroblast+,Flying,1,170,0,0,75,2 Attack,0.125
361,Aeroblast++,Flying,1,170,0,0,75,2 Attack,0.125
362,Sacred Fire+,Fire,1,130,0,0,65,1 Opponent Attack,0.5
363,Sacred Fire++,Fire,1,130,0,0,65,1 Opponent Attack,0.5
364,Acrobatics,Flying,1,110,0,0,60,,
365,Luster Purge,Psychic,1,120,0,0,60,1 Opponent Defense,0.5
366,Mist Ball,Psychic,1,120,0,0,60,1 Opponent Attack,0.5
367,Brutal Swing,Dark,1,55,0,0,35,,
369,Seed Flare,Grass,1,130,0,0,75,2 Opponent Defense,0.4
370,Obstruct,Dark,1,15,0,0,40,1 Defense1 Opponent Defense,1.0
371,Shadow Force,Ghost,1,120,0,0,90,,
372,Meteor Beam,Rock,1,120,0,0,60,1 Attack,1.0
374,Fusion Bolt,Electric,1,90,0,0,45,,
375,Fusion Flare,Fire,1,90,0,0,45,,
376,Poltergeist,Ghost,1,150,0,0,75,,
377,High Horsepower,Ground,1,100,0,0,60,,
378,Glaciate,Ice,1,60,0,0,40,1 Opponent Attack,1.0
379,Breaking Swipe,Dragon,1,50,0,0,35,1 Opponent Attack,0.5
380,Boomburst,Normal,1,150,0,0,70,,
381,Double Iron Bash,Steel,1,50,0,0,35,,
382,Mystical Fire,Fire,1,60,0,0,45,1 Opponent Attack,1.0
383,Liquidation,Water,1,70,0,0,45,1 Opponent Defense,0.3
384,Dragon Ascent,Flying,1,150,0,0,70,1 Defense,1.0
386,Magma Storm,Fire,1,65,0,0,40,,
388,Spacial Rend,Dragon,1,95,0,0,50,,
389,Oblivion Wing,Flying,1,85,0,0,50,,
390,Nature's Madness,Fairy,1,80,0,0,50,1 Opponent Defense,1.0
391,Triple Axel,Ice,1,60,0,0,45,1 Attack,1.0
392,Trailblaze,Grass,1,65,0,0,45,1 Attack,1.0
393,Scorching Sands,Ground,1,80,0,0,50,1 Opponent Attack,0.3
394,Roar of Time,Dragon,1,150,0,0,65,,
395,Bleakwind Storm,Flying,1,60,0,0,45,1 Opponent Attack,1.0
396,Sandsear Storm,Ground,1,60,0,0,45,1 Opponent Attack,1.0
397,Wildbolt Storm,Electric,1,60,0,0,45,1 Opponent Attack,1.0
398,Spirit Shackle,Ghost,1,50,0,0,40,1 Opponent Defense,0.33
399,Volt Tackle,Electric,1,90,0,0,50,1 Defense,1.0
400,Darkest Lariat,Dark,1,120,0,0,60,,
404,Sunsteel Strike,Steel,1,135,0,0,65,,
405,Moongeist Beam,Ghost,1,135,0,0,65,,
406,Aura Wheel,Electric,1,100,0,0,45,1 Attack,1.0
407,Aura Wheel,Dark,1,100,0,0,45,1 Attack,1.0
408,High Jump Kick,Fighting,1,110,0,0,55,4 Defense,0.1
463,Sparkling Aria,Water,1,80,0,0,45,,
464,Rage Fist,Ghost,1,50,0,0,35,1 Attack,1.0
465,Flower Trick,Grass,1,30,0,0,35,1 Attack,1.0
